Rapport UsageDetail pour la période de facturation - (UsageDetail Report for Billing Period -) 201904

ID du compte (AccountId),Nom du compte (AccountName),Adresse e-mail du propriétaire du compte (AccountOwnerEmail),Informations supplémentaires (AdditionalInfo),Quantité consommée (ConsumedQuantity),Service consommé (ConsumedService),ID du service consommé (ConsumedServiceId),Coût (Cost),Centre de coûts (CostCenter),Date (Date),ID du service (DepartmentId),Nom du service (DepartmentName),ID d'instance (InstanceId),Catégorie du compteur (MeterCategory),ID du compteur (MeterId),Nom du compteur (MeterName),Région du compteur (MeterRegion),Sous-catégorie du compteur (MeterSubCategory),Produit (Product),ID du produit (ProductId),Groupe de ressources (ResourceGroup),Emplacement des ressources (ResourceLocation),ID d'emplacement des ressources (ResourceLocationId),Taux de ressources (ResourceRate),ID de l'administrateur de service (ServiceAdministratorId),Informations de service 1 (ServiceInfo1),Informations de service 2 (ServiceInfo2),Identificateur du service Store (StoreServiceIdentifier),Guid d'abonnement (SubscriptionGuid),ID d'abonnement (SubscriptionId),Nom de l'abonnement (SubscriptionName),Balises (Tags),Unité de mesure (UnitOfMeasure),PartNumber (PartNumber),ResourceGuid (ResourceGuid),OfferId (OfferId),ChargesBilledSeparately (ChargesBilledSeparately),Emplacement (Location),ServiceName (ServiceName),ServiceTier (ServiceTier)
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.000624,Microsoft.Storage,68,0,1234500-0000327300,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Bandwidth,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Data Transfer In,All Regions,,Bandwidth - Data Transfer In - Zone 1,1004688,vm_test,euwest,34,0,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,10 GB,Q5H-00017,32c3ebec-1646-49e3-8127-2cafbd3a04d8,MS-AZR-0017P,False,EU West,Bandwidth,Bandwidth - Inbound Data Transfer
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.000168,Microsoft.Storage,68,0,1234500-0000327300,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Storage,6c76daf0-aeb1-4238-b8b4-18820c91eeef,RA-GRS Data Stored,,Tables,Tables - RA-GRS Data Stored,1003280,vm_test,euwest,34,0,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,100 GB/Month,N9H-00688,6c76daf0-aeb1-4238-b8b4-18820c91eeef,MS-AZR-0017P,False,EU West,Storage,Tables
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.00012,Microsoft.Storage,68,0.000009358607915,1234500-0000327300,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Bandwidth,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,All Regions,,Bandwidth - Data Transfer Out - Zone 1,1010107,vm_test,euwest,34,0.077988399288296,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,10 GB,Q5H-00003,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,MS-AZR-0017P,False,EU West,Bandwidth,Bandwidth - Outbound Data Transfer
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.029,Microsoft.Storage,68,0,1234500-0000327300,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Storage,bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d,GRS Batch Write Operations,,Tables,Tables - GRS - Batch Write Operations,1010996,vm_test,euwest,34,0,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,100000000,N9H-00764,bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d,MS-AZR-0017P,False,EU West,Storage,Tables
203811,Azure.DeptAdmin,Azure.DeptAdmin@company4.ch,,0.03228,Microsoft.MachineLearning,21,0.286666666666667,1234500-0000005610,2019-04-01,79333,company4,/subscriptions/xxxxxxxx-dae9-4cfd-b4d2-ded7441609b2/resourceGroups/Default-MachineLearning-SouthCentralUS/providers/Microsoft.MachineLearning/Workspaces/MLFontannaz,Machine Learning Studio,f5e981aa-4b62-4c26-8d7a-7eccb04546bb,Standard Workspace fee,,,Machine Learning Studio - Standard - Workspace fees,1010439,Default-MachineLearning-SouthCentralUS,ussouthcentral,15,8.88062783973565,,,,,xxxxxxxx-dae9-4cfd-b4d2-ded7441609b2,0,company4-global-acc,,1 /Month,N7H-01587,f5e981aa-4b62-4c26-8d7a-7eccb04546bb,MS-AZR-0017P,False,US South Central,Machine Learning Studio,Machine Learning Studio
202874,Azure admin,chf_azure@company5.com,,0.033336,Microsoft.Compute,8,0.652467834556953,1234500-0000000136,2019-04-01,79335,company7,/subscriptions/xxxxxxxx-446c-4577-808f-16a134847d5f/resourceGroups/SANDRO-TEST/providers/Microsoft.Compute/disks/sandro-test_OsDisk_1_f4060d5de04c4b3bbe01633186ab7896,Storage,137d3f72-fe0e-4a78-b5d0-92d704aa3cac,P10 Disks,Netherlands,Premium SSD Managed Disks,Premium SSD Managed Disks - P10 - Disks - EU West,1073562,SANDRO-TEST,euwest,34,19.5724692391694,,,,,23720ea2-446c-4577-808f-16a134847d5f,0,company3 IT-DEV,,1 /Month,AAD-18125,137d3f72-fe0e-4a78-b5d0-92d704aa3cac,MS-AZR-0017P,False,EU West,Storage,Premium SSD Managed Disks
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.000216,Microsoft.Storage,68,0,3110000-0003111100,2019-04-01,79336,company2,/subscriptions/xxxxxxxx-0be4-4d41-bf01-79fee3583d76/resourceGroups/company6-newsletterpicturestorage-prod-we/providers/Microsoft.Storage/storageAccounts/crmnewsletterpictures,Storage,0623400b-f198-453e-b090-f09555b18e6a,Hot RA-GRS Data Stored,Netherlands,Tiered Block Blob,Tiered Block Blob - Hot RA-GRS - Data Stored - EU West,1018339,company6-newsletterpicturestorage-prod-we,euwest,34,0,,,,,cfe6bca4-0be4-4d41-bf01-79fee3583d76,0,company6-newsletterpicturestorage-prod,,100 GB/Month,N9H-01085,0623400b-f198-453e-b090-f09555b18e6a,MS-AZR-0017P,False,EU West,Storage,Tiered Block Blobs v2
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.000216,Microsoft.Storage,68,0,3110000-0003111100,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-0be4-4d41-bf01-79fee3583d76/resourceGroups/company6-newsletterpicturestorage-prod-we/providers/Microsoft.Storage/storageAccounts/crmnewsletterpictures,Storage,0623400b-f198-453e-b090-f09555b18e6a,Hot RA-GRS Data Stored,Netherlands,Tiered Block Blob,Tiered Block Blob - Hot RA-GRS - Data Stored - EU West,1018339,company6-newsletterpicturestorage-prod-we,euwest,34,0,,,,,cfe6bca4-0be4-4d41-bf01-79fee3583d76,0,company6-newsletterpicturestorage-prod,,100 GB/Month,N9H-01085,0623400b-f198-453e-b090-f09555b18e6a,MS-AZR-0017P,False,EU West,Storage,Tiered Block Blobs v2
202874,Azure admin,chf_azure@company5.com,,0.033336,Microsoft.Compute,8,0.652467834556953,1234500-0000000136,2019-04-02,79335,company7,/subscriptions/xxxxxxxx-446c-4577-808f-16a134847d5f/resourceGroups/SANDRO-TEST/providers/Microsoft.Compute/disks/sandro-test_OsDisk_1_f4060d5de04c4b3bbe01633186ab7896,Storage,137d3f72-fe0e-4a78-b5d0-92d704aa3cac,P10 Disks,Netherlands,Premium SSD Managed Disks,Premium SSD Managed Disks - P10 - Disks - EU West,1073562,SANDRO-TEST,euwest,34,19.5724692391694,,,,,23720ea2-446c-4577-808f-16a134847d5f,0,company3 IT-DEV,,1 /Month,AAD-18125,137d3f72-fe0e-4a78-b5d0-92d704aa3cac,MS-AZR-0017P,False,EU West,Storage,Premium SSD Managed Disks
203811,Azure.DeptAdmin,Azure.DeptAdmin@company4.ch,,0.03228,Microsoft.MachineLearning,21,0.286666666666667,1234500-0000005610,2019-04-02,79333,company4,/subscriptions/xxxxxxxx-dae9-4cfd-b4d2-ded7441609b2/resourceGroups/Default-MachineLearning-SouthCentralUS/providers/Microsoft.MachineLearning/Workspaces/MLFontannaz,Machine Learning Studio,f5e981aa-4b62-4c26-8d7a-7eccb04546bb,Standard Workspace fee,,,Machine Learning Studio - Standard - Workspace fees,1010439,Default-MachineLearning-SouthCentralUS,ussouthcentral,15,8.88062783973565,,,,,xxxxxxxx-dae9-4cfd-b4d2-ded7441609b2,0,company4-global-acc,,1 /Month,N7H-01587,f5e981aa-4b62-4c26-8d7a-7eccb04546bb,MS-AZR-0017P,False,US South Central,Machine Learning Studio,Machine Learning Studio
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.029,Microsoft.Storage,68,0,1234500-0000327300,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Storage,bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d,GRS Batch Write Operations,,Tables,Tables - GRS - Batch Write Operations,1010996,vm_test,euwest,34,0,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,100000000,N9H-00764,bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d,MS-AZR-0017P,False,EU West,Storage,Tables
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.000168,Microsoft.Storage,68,0,1234500-0000327300,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Storage,6c76daf0-aeb1-4238-b8b4-18820c91eeef,RA-GRS Data Stored,,Tables,Tables - RA-GRS Data Stored,1003280,vm_test,euwest,34,0,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,100 GB/Month,N9H-00688,6c76daf0-aeb1-4238-b8b4-18820c91eeef,MS-AZR-0017P,False,EU West,Storage,Tables
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.00012,Microsoft.Storage,68,0.000009358607915,1234500-0000327300,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Bandwidth,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,All Regions,,Bandwidth - Data Transfer Out - Zone 1,1010107,vm_test,euwest,34,0.077988399288296,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,10 GB,Q5H-00003,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,MS-AZR-0017P,False,EU West,Bandwidth,Bandwidth - Outbound Data Transfer
190340,azure_ccoe-company2,azure_ccoe@company2.ch,,0.000624,Microsoft.Storage,68,0,1234500-0000327300,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-5736-462b-b53f-b3269c247a97/resourceGroups/vm_test/providers/Microsoft.Storage/storageAccounts/company6teststorage,Bandwidth,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Data Transfer In,All Regions,,Bandwidth - Data Transfer In - Zone 1,1004688,vm_test,euwest,34,0,,,,,xxxxxxxx-5736-462b-b53f-b3269c247a97,0,company2-sandbox-dev,,10 GB,Q5H-00017,32c3ebec-1646-49e3-8127-2cafbd3a04d8,MS-AZR-0017P,False,EU West,Bandwidth,Bandwidth - Inbound Data Transfer
194110,azure_devops-company2,azure_devops@company2.ch,,0.003288,Microsoft.Storage,68,0.000172793163546,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,LRS Data Stored,,Files,Files - LRS Data Stored,1005788,company2-portal-collaboration,eunorth,19,0.05255266531195,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,100 GB/Month,N9H-00069,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,MS-AZR-0017P,False,EU North,Storage,Files
194110,azure_devops-company2,azure_devops@company2.ch,,0.006,Microsoft.Storage,68,0.000007623197895,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,6a99015c-d33f-4f46-ae59-2e4d14091aa8,Protocol Operations,,Files,Files - Protocol Operations,1004817,company2-portal-collaboration,eunorth,19,0.001270532982464,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10000000,N9H-00721,6a99015c-d33f-4f46-ae59-2e4d14091aa8,MS-AZR-0017P,False,EU North,Storage,Files
194110,azure_devops-company2,azure_devops@company2.ch,,0.001643,Microsoft.Storage,68,0,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Bandwidth,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Data Transfer In,All Regions,,Bandwidth - Data Transfer In - Zone 1,1004688,company2-portal-collaboration,eunorth,19,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10 GB,Q5H-00017,32c3ebec-1646-49e3-8127-2cafbd3a04d8,MS-AZR-0017P,False,EU North,Bandwidth,Bandwidth - Inbound Data Transfer
194110,azure_devops-company2,azure_devops@company2.ch,"{  ""AppServicePlanUri"": ""/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/serverfarms/NorthEuropePlan""}",0.00002,Microsoft.Web,4,0.000001559767986,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/sites/portal-collaboration-api-functions,Bandwidth,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,All Regions,,Bandwidth - Data Transfer Out - Zone 1,1010107,company2-portal-collaboration,northeurope,134,0.077988399288296,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10 GB,Q5H-00003,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,MS-AZR-0017P,False,EU North,Bandwidth,Bandwidth - Outbound Data Transfer
194110,azure_devops-company2,azure_devops@company2.ch,"{  ""AppServicePlanUri"": ""/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/serverfarms/NorthEuropePlan""}",0.343,Microsoft.Web,4,0,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Web/sites/portal-collaboration-api-functions,Functions,2a384075-01d7-4f66-a84a-0eed3ca58876,Execution Time,,,Functions - Execution Time,1002587,company2-portal-collaboration,northeurope,134,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,50000 GB Seconds,AAA-14081,2a384075-01d7-4f66-a84a-0eed3ca58876,MS-AZR-0017P,False,EU North,Functions,Functions
194110,azure_devops-company2,azure_devops@company2.ch,,0.0146,Microsoft.Storage,68,0,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Batch Write Operations,,Tables,Tables - Batch Write Operations,1007784,company2-portal-collaboration,eunorth,19,0,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,100000000,N9H-00758,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,MS-AZR-0017P,False,EU North,Storage,Tables
194110,azure_devops-company2,azure_devops@company2.ch,,0.0036,Microsoft.Storage,68,0.000048452232094,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Storage,f90f81d2-238a-49d0-9f1b-9df13a859843,LRS Write Operations,,Files,Files - LRS - Write Operations,1012587,company2-portal-collaboration,eunorth,19,0.013458953359429,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10000000,N9H-00819,f90f81d2-238a-49d0-9f1b-9df13a859843,MS-AZR-0017P,False,EU North,Storage,Files
194110,azure_devops-company2,azure_devops@company2.ch,,0.001073,Microsoft.Storage,68,0.000083681552436,1234567-0000325200,2019-04-02,79336,company2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx/resourceGroups/company2-portal-collaboration/providers/Microsoft.Storage/storageAccounts/portalcollaborationstorage,Bandwidth,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,All Regions,,Bandwidth - Data Transfer Out - Zone 1,1010107,company2-portal-collaboration,eunorth,19,0.077988399288296,,,,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,0,company2-portal,,10 GB,Q5H-00003,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,MS-AZR-0017P,False,EU North,Bandwidth,Bandwidth - Outbound Data Transfer
